keyword,title,url,author,points,comments,created_at
python,Uv is the best thing to happen to the Python ecosystem in a decade,https://emily.space/posts/251023-uv,todsacerdoti,2214,1324,2025-10-29T18:57:29Z
python,Sunsetting Python 2,https://www.python.org/doc/sunset-python-2/,azizsaya,1616,704,2019-09-09T06:43:24Z
python,Grumpy: Go running Python,https://opensource.googleblog.com/2017/01/grumpy-go-running-python.html,trotterdylan,1411,451,2017-01-04T17:00:39Z
automation,Open-Source Home Automation,https://www.home-assistant.io/,neya,869,231,2019-11-29T16:06:31Z
automation,Do-nothing scripting: the key to gradual automation (2019),https://blog.danslimmon.com/2019/07/15/do-nothing-scripting-the-key-to-gradual-automation/,jabo,804,230,2021-11-02T16:15:25Z
automation,N8n.io – Workflow automation alternative to Zapier,https://n8n.io/,tablet,728,196,2019-10-08T12:53:04Z
